Station,Record_No,Distance_m,Structure_Type,Dip_Direction_degrees,Dip_degrees,Spacing_mm,Persistence_m,Termination,Aperture_mm,Infilling_Type,Infilling_Thickness,Roughness,Waviness,Weathering,Groundwater,Number_Joints,Observations
1,1,0,J,248,57,4,1,1,3,3,3,4,2,1,1,1,
1,2,0.15,J,225,67,4,1,1,3,5,5,4,2,1,1,4,
1,3,0.30,J,239,65,5,1,1,4,1,1,4,2,1,1,4,
1,4,0.52,J,250,61,5,1,1,2,5,5,4,2,1,1,4,
1,5,0.63,J,215,65,5,1,1,3,5,5,4,2,1,1,4,
1,6,0.78,J,234,56,3,2,1,2,1,1,4,1,1,1,4,
1,7,1.14,J,221,58,3,1,1,3,4,3,4,2,1,1,3,
1,8,1.52,J,232,54,3,1,1,4,3,3,4,1,1,1,1,
1,9,1.60,E,080,24,3,1,1,1,1,1,4,1,1,1,1,
1,10,1.78,J,252,60,4,2,3,1,1,1,4,2,2,1,1,
1,11,1.96,J,271,60,5,2,1,2,1,1,4,2,1,1,3,
1,12,2.09,J,315,58,4,1,1,4,1,1,4,2,1,1,3,
1,13,2.00,J,310,66,3,1,1,2,1,1,4,2,1,1,3,
1,14,2.11,J,221,60,4,1,1,2,1,1,4,2,1,1,3,
1,15,2.14,J,321,61,5,2,1,3,5,4,4,1,1,1,3,Familias 4
2,1,0,J,307,90,3,3,3,1,1,2,4,2,3,1,,
2,2,0.49,F,190,96,2,3,3,4,4,2,4,2,3,1,,
2,3,0.54,F,265,27,5,2,1,2,1,1,4,2,2,1,,322° / 83°
2,4,1.00,J,239,95,5,1,1,4,4,2,4,1,1,1,,
2,5,1.00,J,348,84,2,3,3,1,4,2,4,1,1,1,,
2,6,1.20,J,270,75,5,3,1,4,1,1,4,2,1,1,,
2,7,1.22,J,268,74,5,2,1,3,1,1,4,2,2,1,,
2,8,1.36,J,230,89,5,3,1,2,4,2,4,2,2,1,,
2,9,1.40,J,271,61,3,2,1,4,4,2,4,2,3,1,,
2,10,2.03,J,137,73,4,2,2,3,1,1,4,2,1,1,,
2,11,2.10,J,355,65,4,2,1,1,1,1,4,2,1,1,,
2,12,2.15,J,171,96,2,1,2,3,1,1,4,1,1,1,,
2,13,2.62,J,319,28,4,2,1,3,4,2,4,1,1,1,,
2,14,2.82,J,181,86,3,2,1,3,5,4,4,2,1,1,,
2,15,3.06,J,285,76,3,1,1,3,1,1,4,2,1,1,,
3,1,0,J,171,75,3,2,1,1,4,2,4,2,5,1,,
3,2,0.29,E,101,47,4,2,3,1,4,2,4,2,3,1,,
3,3,0.41,E,103,36,4,2,3,1,3,1,4,2,2,1,,
3,4,0.64,J,127,66,3,2,3,4,3,1,1,1,1,1,,
3,5,0.74,J,157,75,4,2,1,1,1,1,4,1,1,1,,
3,6,1.00,J,310,50,5,1,1,4,3,4,4,2,1,1,,
3,7,1.01,J,350,46,5,1,1,4,4,2,4,2,1,1,,
3,8,1.16,J,058,65,5,3,1,3,1,1,4,3,1,1,,
3,9,1.21,J,145,87,4,1,1,3,1,1,4,2,1,1,,
3,10,1.72,J,145,73,4,2,1,1,1,1,4,2,1,1,,
3,11,1.83,J,148,75,4,1,1,3,1,1,4,1,1,1,,
3,12,1.96,J,355,76,4,1,1,3,1,1,4,2,1,1,,
3,13,2.09,J,355,40,4,1,1,3,4,2,4,3,1,1,,
3,14,2.38,J,280,65,5,1,1,3,4,2,4,3,2,1,,
3,15,2.38,J,213,94,3,2,1,4,5,4,4,2,2,1,,
4,1,0,J,246,81,5,1,1,2,1,1,2,2,1,1,7,J1
4,2,0.22,J,268,83,5,1,1,1,1,1,2,2,1,1,5,J2
4,3,0.31,J,041,73,5,2,1,2,1,1,2,2,1,1,4,J3
4,4,0.52,J,237,82,5,1,1,1,1,1,3,2,1,1,1,J1
4,5,0.71,J,268,79,5,2,1,1,1,1,2,2,1,1,1,J2
4,6,0.85,J,036,74,5,2,1,2,1,1,2,2,1,1,4,J3
4,7,1.05,J,242,80,5,1,1,1,1,1,3,2,1,1,1,J1
4,8,1.24,J,263,85,5,2,1,1,1,1,2,2,1,1,1,J2
4,9,1.33,J,045,71,5,2,1,2,1,1,2,2,1,1,4,J3
4,10,1.55,J,248,79,5,1,1,1,1,1,3,2,1,1,1,J1
4,11,1.69,J,262,84,5,2,1,1,1,1,2,2,1,1,1,J2
4,12,1.76,J,041,76,5,2,1,2,1,1,2,2,1,1,4,J3
4,13,1.96,J,249,77,5,1,1,1,1,1,3,2,1,1,1,J1
4,14,2.14,J,269,86,5,2,1,1,1,1,2,2,1,1,1,J2
4,15,2.21,J,038,72,5,2,1,2,1,1,2,2,1,1,4,J3 